"Signature","Genes","Threshold","Survival","ZScore_N","ZScore_P","ssGSEA_N","ssGSEA_P","Correlation","Method_Diff","Better_Method","Both_Sig","Either_Sig"
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","50p","OS",245,0.769934,245,0.790536,0.8905,-0.020602,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","50p","DSS",235,0.271595,235,0.177595,0.8905,0.094,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","50p","PFI",245,0.641695,245,0.239743,0.8905,0.401952,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","66p","OS",245,0.308457,245,0.566569,0.8905,-0.258111,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","66p","DSS",235,0.15371,235,0.625533,0.8905,-0.471824,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","66p","PFI",245,0.626849,245,0.545889,0.8905,0.080961,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","75p","OS",245,0.781984,245,0.880094,0.8905,-0.09811,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","75p","DSS",235,0.488295,235,0.953632,0.8905,-0.465337,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","75p","PFI",245,0.704784,245,0.570919,0.8905,0.133865,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","90p","OS",245,0.575245,245,0.08218,0.8905,0.493064,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","90p","DSS",235,0.361337,235,0.41918,0.8905,-0.057844,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","90p","PFI",245,0.90858,245,0.703101,0.8905,0.205479,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","25p_75p","OS",122,0.581455,122,0.948254,0.8905,-0.366799,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","25p_75p","DSS",118,0.121141,118,0.432659,0.8905,-0.311518,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","25p_75p","PFI",122,0.52908,122,0.274951,0.8905,0.254129,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","33p_66p","OS",164,0.515244,164,0.658113,0.8905,-0.142869,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","33p_66p","DSS",158,0.089248,158,0.421497,0.8905,-0.332249,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A_ACSL3","CES1, MGLL, CPT1A, ACSL3","33p_66p","PFI",164,0.323214,164,0.516034,0.8905,-0.19282,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","25p","OS",245,0.939178,245,0.949295,0.9157,-0.010117,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","25p","DSS",235,0.224774,235,0.257278,0.9157,-0.032505,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","25p","PFI",245,0.48885,245,0.106568,0.9157,0.382282,"ssGSEA",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","50p","OS",245,0.986001,245,0.997816,0.9157,-0.011815,"Z-score",FALSE,FALSE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","50p","DSS",235,0.563296,235,0.038299,0.9157,0.524997,"ssGSEA",FALSE,TRUE
"CES1_CPT1A_ACSL3","CES1, CPT1A, ACSL3","50p","PFI",245,0.468251,245,0.255265,0.9157,0.212986,"ssGSEA",FALSE,FALSE
